,specz_redshift
300,0.429080009
301,0.493519992
302,0.276289999
303,0.0601999983
304,0.113880001
305,0.125890002
306,0.148829997
307,0.172490001
308,0.419470012
309,0.0855299979
310,0.438109994
311,0.260199994
312,0.159539998
313,0.0384100005
314,0.440270007
315,0.105060004
316,0.262427688
317,0.176870003
318,0.0734900013
319,0.348520011
320,0.180899993
321,0.101520002
322,0.239360005
323,0.117729999
324,0.47003001
325,0.111510001
326,0.300099999
327,0.277949989
328,0.236909598
329,0.109549999
330,0.483709991
331,0.317400008
332,0.0796300024
333,0.354629993
334,0.325280011
335,0.135749996
336,0.136659995
337,0.484800011
338,0.222519994
339,0.197730005
340,0.152520001
341,0.446700007
342,0.342029989
343,0.449070007
344,0.138600007
345,0.11304
346,0.174040005
347,0.098559998
348,0.421110004
349,0.165600002
350,0.0930500031
351,0.0790399984
352,0.246099994
353,0.182150006
354,0.0584000014
355,0.385650009
356,0.171450004
357,0.469399989
358,0.0883800015
359,0.229750007
360,0.365330011
361,0.166830003
362,0.285919994
363,0.48348999
364,0.0787599981
365,0.401140004
366,0.0700400025
367,0.123000003
368,0.42493999
369,0.0930299982
370,0.0774800032
371,0.254020005
372,0.492700011
373,0.307830006
374,0.201220006
375,0.393020004
376,0.103139997
377,0.356330007
378,0.403759986
379,0.139740005
380,0.165830001
381,0.487800002
382,0.0987653732
383,0.0459700003
384,0.179810002
385,0.0987600014
386,0.1171
387,0.277759999
388,0.166559994
389,0.241160005
390,0.320609987
391,0.173529997
392,0.0952000022
393,0.0348099992
394,0.373380005
395,0.452740014
396,0.205090001
397,0.294039994
398,0.120949998
399,0.499300003
400,0.470369995
401,0.497359991
402,0.163039997
403,0.0844900012
404,0.453979999
405,0.400200009
406,0.288949996
407,0.277420014
408,0.144429997
409,0.431149989
410,0.47507
411,0.0870800018
412,0.174600005
413,0.39921999
414,0.211290002
415,0.289000005
416,0.0841799974
417,0.125579998
418,0.179519996
419,0.376839995
420,0.277539998
421,0.409999996
422,0.152109995
423,0.453570008
424,0.13177
425,0.44975999
426,0.139929995
427,0.166099995
428,0.106380001
429,0.32277
430,0.379909992
431,0.484849989
432,0.349241227
433,0.217889994
434,0.484800011
435,0.115440004
436,0.157759994
437,0.479389995
438,0.280600011
439,0.0760599971
440,0.087059997
441,0.116750002
442,0.324099988
443,0.128999993
444,0.454750001
445,0.320300013
446,0.280440003
447,0.42998001
448,0.206409007
449,0.283450007
450,0.353729993
451,0.139679998
452,0.156149998
453,0.181040004
454,0.285580009
455,0.0907799974
456,0.0805900022
457,0.277859986
458,0.132100001
459,0.199880004
460,0.327780008
461,0.170230001
462,0.257669985
463,0.274839997
464,0.434929997
465,0.431769997
466,0.297369987
467,0.254900008
468,0.384820014
469,0.180329993
470,0.358420014
471,0.10661
472,0.120119996
473,0.0710799992
474,0.159339994
475,0.149299994
476,0.193157896
477,0.0950499997
478,0.418220013
479,0.232940003
480,0.265670002
481,0.184750006
482,0.181394696
483,0.464529991
484,0.329947114
485,0.157470003
486,0.131750003
487,0.357939988
488,0.481999993
489,0.0274999999
490,0.0986699983
491,0.291729987
492,0.0563599989
493,0.404399991
494,0.445659995
495,0.157110006
496,0.460009992
497,0.128649995
498,0.293830007
499,0.462940007
500,0.206650004
501,0.132760003
502,0.166250005
503,0.320560008
504,0.136800006
505,0.230849996
506,0.496659994
507,0.276250005
508,0.177450001
509,0.0714600012
510,0.0612999983
511,0.305159986
512,0.17238
513,0.465469986
514,0.350749999
515,0.378919989
516,0.46322
517,0.185890004
518,0.291810006
519,0.236149997
520,0.479449987
521,0.0756300017
522,0.278409988
523,0.107359998
524,0.181130007
525,0.0479299985
